		 Art.Nr.									   Artikelbezeichnung											Preis D			Preis CH			   VE																																		 Kategorie				   Unterkategorie																																							   Lagerbestand																																																																																																																														Farbe			GrÃ¶Ãe		  Kennzeichen													
      001008004,               ,     Leuchte Dawn weiÃ 75cm *NICE PRICE*,     Leuchte Dawn weiÃ 75cm *NICE PRICE*,   29.99,       0,       0,       0,     1,      ,      ,      ,        ,          ,          ,        -2,          ,     ,          ,     ,          ,     ,                              ,                              ,                              ,                    , ,               ,               ,                                    ,               ,               ,             -2,                                        ,                                        ,                                        ,                                        ,                                        ,                                        , , , ,        ,      ,                                        ,                                        ,                              ,                                        , , ,                    ,                    ,                    ,               ,               ,                    ,-2        ,0       ,0       ,0       ,0       ,0       ,1,
      001008005,               ,  Leuchte Dawn schwarz 75cm *NICE PRICE*,  Leuchte Dawn schwarz 75cm *NICE PRICE*,   29.99,       0,       0,       0,     1,      ,      ,      ,        ,          ,          ,         0,          ,     ,          ,     ,          ,     ,                              ,                              ,                              ,                    , ,               ,               ,                                    ,               ,               ,              0,                                        ,                                        ,                                        ,                                        ,                                        ,                                        , , , ,        ,      ,                                        ,                                        ,                              ,                                        , , ,                    ,                    ,                    ,               ,               ,                    ,0         ,0       ,0       ,0       ,0       ,0       ,1,
      001008006,               ,     Leuchte Dawn gold 75cm *NICE PRICE*,     Leuchte Dawn gold 75cm *NICE PRICE*,   39.99,       0,       0,       0,     1,      ,      ,      ,        ,          ,          ,         0,          ,     ,          ,     ,          ,     ,                              ,                              ,                              ,                    , ,               ,               ,                                    ,               ,               ,              0,                                        ,                                        ,                                        ,                                        ,                                        ,                                        , , , ,        ,      ,                                        ,                                        ,                              ,                                        , , ,                    ,                    ,                    ,               ,               ,                    ,0         ,0       ,0       ,0       ,0       ,0       ,1,
      004005007,               ,      Schale Pine gold 62cm *NICE PRICE*,      Schale Pine gold 62cm *NICE PRICE*,   29.99,       0,       0,       0,     1,      ,      ,      ,        ,          ,          ,         0,          ,     ,          ,     ,          ,     ,                              ,                              ,                              ,                    , ,               ,               ,                                    ,               ,               ,              0,                                        ,                                        ,                                        ,                                        ,                                        ,                                        , , , ,        ,      ,                                        ,                                        ,                              ,                                        , , ,                    ,                    ,                    ,               ,               ,                    ,0         ,0       ,0       ,0       ,0       ,0       ,1,
      004005008,               ,   Schale Pine schwarz 62cm *NICE PRICE*,   Schale Pine schwarz 62cm *NICE PRICE*,   29.99,       0,       0,       0,     1,      ,      ,      ,        ,          ,          ,         0,          ,     ,          ,     ,          ,     ,                              ,                              ,                              ,                    , ,               ,               ,                                    ,               ,               ,              0,                                        ,                                        ,                                        ,                                        ,                                        ,                                        , , , ,        ,      ,                                        ,                                        ,                              ,                                        , , ,                    ,                    ,                    ,               ,               ,                    ,0         ,0       ,0       ,0       ,0       ,0       ,1,
      004005009,               ,      Schale Pine weiÃ 62cm *NICE PRICE*,      Schale Pine weiÃ 62cm *NICE PRICE*,   29.99,       0,       0,       0,     1,      ,      ,      ,        ,          ,          ,         0,          ,     ,          ,     ,          ,     ,                              ,                              ,                              ,                    , ,               ,               ,                                    ,               ,               ,              0,                                        ,                                        ,                                        ,                                        ,                                        ,                                        , , , ,        ,      ,                                        ,                                        ,                              ,                                        , , ,                    ,                    ,                    ,               ,               ,                    ,0         ,0       ,0       ,0       ,0       ,0       ,1,
         222162,               ,           Pokal Tazza mocca matt 16.5cm,           Pokal Tazza mocca matt 16.5cm,    3.99,       0,    6.99,       0,     4,      ,      ,      ,        ,          ,          ,        59,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         KÃBEL,                              ,                    , ,               ,               ,                                    ,               ,               ,             59,                                        ,                                        ,                                        ,                                        ,                                        ,                                        , , , ,        ,      ,                                        ,                                        ,                              ,                                        , ,1,                    ,                    ,                    ,     mocca matt,           16.5,              222162,59        ,0       ,0       ,0       ,0       ,0       ,0,
         222163,               ,           Pokal Tazza mocca matt 19.5cm,           Pokal Tazza mocca matt 19.5cm,    6.99,       0,   11.19,       0,     2,      ,      ,      ,        ,          ,          ,        11,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         KÃBEL,                              ,                    , ,               ,               ,                                    ,               ,               ,             11,                                        ,                                        ,                                        ,                                        ,                                        ,                                        , , , ,        ,      ,                                        ,                                        ,                              ,                                        , ,1,                    ,                    ,                    ,     mocca matt,           19.5,              222162,11        ,0       ,0       ,0       ,0       ,0       ,0,
         222164,               ,             Pokal Tazza mocca matt 22cm,             Pokal Tazza mocca matt 22cm,   11.99,       0,   18.19,       0,     2,      ,      ,      ,        ,          ,          ,        15,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         KÃBEL,                              ,                    , ,               ,               ,                                    ,               ,               ,             15,                                        ,                                        ,                                        ,                                        ,                                        ,                                        , , , ,        ,      ,                                        ,                                        ,                              ,                                        , ,1,                    ,                    ,                    ,     mocca matt,             22,              222162,15        ,0       ,0       ,0       ,0       ,0       ,0,
         222507,               , Teelichtkugel Ramos Inspirio schw. 11cm, Teelichtkugel Ramos Inspirio schw. 11cm,    1.59,       0,    2.99,       0,     6,      ,      ,      ,        ,          ,          ,       122,          ,     ,          ,     ,          ,     ,                       KERAMIK,              TEE-/WINDLICHTER,                              ,                    , ,               ,               ,                                    ,               ,               ,            122,                                        ,                                        ,                                        ,                                        ,                                        ,                                        , , , ,        ,      ,                                        ,                                        ,                              ,                                        , ,1,                    ,                    ,                    ,        schwarz,               ,              222507,122       ,0       ,0       ,0       ,0       ,0       ,0,
         222508,               , Teelichtkugel Ramos Inspirio schw. 16cm, Teelichtkugel Ramos Inspirio schw. 16cm,    2.29,       0,    4.69,       0,     6,      ,      ,      ,        ,          ,          ,       118,          ,     ,          ,     ,          ,     ,                       KERAMIK,              TEE-/WINDLICHTER,                              ,                    , ,               ,               ,                                    ,               ,               ,            118,                                        ,                                        ,                                        ,                                        ,                                        ,                                        , , , ,        ,      ,                                        ,                                        ,                              ,                                        , ,1,                    ,                    ,                    ,        schwarz,               ,              222507,118       ,0       ,0       ,0       ,0       ,0       ,0,
         222512,               ,    Dekokugel Ramos Inspirio schwarz 9cm,    Dekokugel Ramos Inspirio schwarz 9cm,    0.79,       0,    2.09,       0,     6,      ,      ,      ,        ,          ,          ,        89,          ,     ,          ,     ,          ,     ,                       KERAMIK,                  DEKO-OBJEKTE,                              ,                    , ,               ,               ,                                    ,               ,               ,             89,                                        ,                                        ,                                        ,                                        ,                                        ,                                        , , , ,        ,      ,                                        ,                                        ,                              ,                                        , ,1,                    ,                    ,                    ,        schwarz,               ,              222507,89        ,0       ,0       ,0       ,0       ,0       ,0,
         222513,               ,   Dekokugel Ramos Inspirio schwarz 11cm,   Dekokugel Ramos Inspirio schwarz 11cm,    0.99,       0,    2.99,       0,     6,      ,      ,      ,        ,          ,          ,       168,          ,     ,          ,     ,          ,     ,                       KERAMIK,                  DEKO-OBJEKTE,                              ,                    , ,               ,               ,                                    ,               ,               ,            168,                                        ,                                        ,                                        ,                                        ,                                        ,                                        , , , ,        ,      ,                                        ,                                        ,                              ,                                        , ,1,                    ,                    ,                    ,        schwarz,               ,              222507,168       ,0       ,0       ,0       ,0       ,0       ,0,
